,Nature mutation,Valeur fonciere,Type de voie,Code postal,Commune,Code departement,Code commune,Nombre de lots,Code type local,Type local,Surface reelle bati,Nombre pieces principales,Nature culture,Surface terrain,month,year,Prix m2 moyen region,Prix m2 moyen commune,latitude,longitude
902745,Vente,266200.0,RUE,77240.0,CESSON,77,67,0,1.0,Maison,97.0,5.0,1,477.0,10,2019,2792.0084946453035,2961.4304701235387,48.5647346588,2.59524476663
621819,Vente,115000.0,RUE,29200.0,BREST,29,19,1,2.0,Appartement,82.0,5.0,0,0.0,8,2019,1539.5439712293175,1539.1982777488272,48.4004997828,-4.5027907853
1434772,Vente,154050.0,RUE,79190.0,MONTALEMBERT,79,180,0,1.0,Maison,132.0,4.0,1,179.0,10,2020,1227.3870464561571,831.679592505346,46.1021234288,0.170162348938
1184489,Vente,472000.0,AV,33950.0,LEGE-CAP-FERRET,33,236,0,1.0,Maison,141.0,6.0,1,828.0,8,2020,3204.131244492545,4567.4058365910105,44.7609440223,-1.19293697437
1621359,Vente,254000.0,RUE,25190.0,MONTANDON,25,387,0,1.0,Maison,103.0,5.0,1,1171.0,10,2021,1982.571908730174,2251.3906611188163,47.2987632167,6.83499766381
1495668,Vente,197000.0,AV,92240.0,MALAKOFF,92,46,2,2.0,Appartement,36.0,2.0,0,0.0,2,2020,6546.771663192075,7024.164391610387,48.8169695977,2.29693599517
332805,Vente,313630.0,RUE,69390.0,MILLERY,69,133,0,1.0,Maison,81.0,4.0,1,217.0,10,2018,3068.867770659194,3552.639147618508,45.6304862126,4.77973349891
1430471,Vente,348000.0,AV,78640.0,NEAUPHLE-LE-CHATEAU,78,442,0,1.0,Maison,105.0,4.0,1,416.0,5,2020,3743.241225182282,3665.077064793326,48.8130997421,1.90470412718
698877,Vente,174500.0,ALL,38110.0,LA TOUR-DU-PIN,38,509,0,1.0,Maison,76.0,4.0,1,210.0,6,2019,2241.157614798029,1659.1624080269833,45.5725876252,5.44527945798
1678728,Vente,245000.0,RUE,34500.0,BEZIERS,34,32,0,1.0,Maison,92.0,3.0,1,266.0,12,2021,2772.260140131778,1648.2006282877237,43.3475883319,3.23076754164
1626873,Vente,203000.0,RUE,27380.0,VAL D'ORGER,27,294,0,1.0,Maison,97.0,5.0,1,1000.0,7,2021,1902.5181973295196,1816.80823190416,49.3450350135,1.3678564295
496402,Vente,339500.0,RUE,1150.0,BLYES,1,47,0,1.0,Maison,148.0,5.0,1,1339.0,1,2019,2063.216265986276,2275.624596266681,45.8469686113,5.25166055884
235136,Vente,78000.0,RUE,50110.0,CHERBOURG-EN-COTENTIN,50,129,0,3.0,Dépendance,0.0,0.0,1,306.0,12,2018,1590.973701446171,1661.0710374357109,49.633412156,-1.63390160204
1821419,Vente,335000.0,RUE,66120.0,FONT-ROMEU ODEILLO-VIA,66,124,0,1.0,Maison,123.0,4.0,1,435.0,9,2021,2076.75599606357,2150.483856343738,42.513242501,2.02697700093
726162,Vente,242000.0,RTE,44240.0,SUCE-SUR-ERDRE,44,201,0,1.0,Maison,150.0,6.0,1,503.0,7,2019,2672.893914551462,3113.3828387264425,47.3536547402,-1.51945689724
574855,Vente,132000.0,CHE,17100.0,SAINTES,17,415,0,1.0,Maison,85.0,4.0,1,258.0,4,2019,2403.49003128563,1669.2699829082449,45.7422300162,-0.649623035643
281690,Vente,79000.0,RUE,59400.0,CAMBRAI,59,122,2,2.0,Appartement,64.0,3.0,0,0.0,9,2018,1841.043513312609,1282.9652651448591,50.1702775977,3.24221021072
1407086,Vente,128750.0,CHE,76230.0,BOIS GUILLAUME,76,108,2,2.0,Appartement,85.0,5.0,0,0.0,7,2020,1973.9442708376116,2784.884429663741,49.4717615714,1.12022637351
264539,Vente,340000.0,AV,59130.0,LAMBERSART,59,328,2,2.0,Appartement,130.0,3.0,0,0.0,10,2018,1841.043513312609,2777.826316549844,50.6522053005,3.02491174276
1200734,Vente,490000.0,RUE,35510.0,CESSON-SEVIGNE,35,51,0,1.0,Maison,124.0,5.0,1,454.0,1,2020,2386.624782243987,3623.890981106899,48.1202268032,-1.59714447272
251876,Vente,126000.0,ALL,55300.0,CHAUVONCOURT,55,111,0,1.0,Maison,117.0,7.0,1,550.0,11,2018,940.4697453472398,1113.607818411097,48.8925104825,5.49858002466
836319,Vente,227500.0,RUE,63112.0,BLANZAT,63,42,0,1.0,Maison,96.0,5.0,1,698.0,10,2019,1661.454316265497,2012.220351008221,45.8274618701,3.07331572461
43809,Vente,300000.0,RUE,13006.0,MARSEILLE 6EME,13,206,0,1.0,Maison,90.0,5.0,1,203.0,9,2018,2839.6070661285644,2846.660503655895,43.2870989546,5.38104785394
717501,Vente,61000.0,QUAI,42300.0,ROANNE,42,187,2,2.0,Appartement,58.0,2.0,0,0.0,1,2019,1413.459443246409,1082.4207460425207,46.0449112487,4.0797045647
584857,Vente,160000.0,RUE,21500.0,ASNIERES-EN-MONTAGNE,21,26,0,1.0,Maison,119.0,4.0,1,326.0,9,2019,1882.5760811351277,1324.0420624771646,47.7130312269,4.29307220961
1051109,Vente,75000.0,AV,4700.0,ORAISON,4,143,1,2.0,Appartement,71.0,3.0,0,0.0,11,2020,1998.7096890002028,2221.7844445021788,43.911106033,5.92458011626
1932358,Vente,405000.0,RUE,94800.0,VILLEJUIF,94,76,0,1.0,Maison,86.0,4.0,1,357.0,10,2021,5049.925367390229,5645.827245997582,48.7928547268,2.36006103249
1635630,Vente,265000.0,RUE,29100.0,DOUARNENEZ,29,46,0,1.0,Maison,95.0,4.0,1,537.0,12,2021,1895.38258333154,1809.5637705942763,48.0806526556,-4.32784220122
640544,Vente,97000.0,PL,31120.0,PORTET SUR GARONNE,31,433,1,2.0,Appartement,46.0,2.0,0,0.0,4,2019,2633.044029650342,2460.834268578697,43.529395272,1.40251955724
242042,Vente,140120.0,RUE,52220.0,LANEUVILLE-A-REMY,52,266,0,1.0,Maison,144.0,6.0,1,991.0,7,2018,926.808152682048,620.9111952861953,48.4723601077,4.87755196221
892732,Vente,225000.0,RUE,76360.0,BARENTIN,76,57,0,1.0,Maison,115.0,4.0,0,535.0,2,2019,1894.3399352165504,1776.0797181684834,49.5454370326,0.957011967644
1588272,Vente,89000.0,RUE,14910.0,BLONVILLE-SUR-MER,14,79,1,2.0,Appartement,30.0,2.0,0,0.0,4,2021,2677.3409209915108,3257.295126833662,49.322264685,0.0322391996049
1027892,Vente,168000.0,AV,75013.0,PARIS 13,75,113,1,2.0,Appartement,27.0,2.0,0,0.0,5,2019,9376.98218434705,9107.567159641834,48.8287176845,2.36246822852
1127481,Vente,60000.0,RUE,22970.0,PLOUMAGOAR,22,225,0,1.0,Maison,68.0,4.0,1,454.0,4,2020,1613.3749539492271,1355.674706691404,48.5304587178,-3.109565675
680062,Vente,127000.0,RUE,35420.0,MELLE,35,174,0,1.0,Maison,96.0,5.0,1,603.0,9,2019,2256.4914946590666,1013.9039855072464,48.4848259494,-1.19126091075
261107,Vente,54000.0,CHEM,58200.0,SAINT LOUP,58,251,0,1.0,Maison,104.0,5.0,1,124.0,8,2018,934.0475676593892,817.4302928401289,47.4524727684,3.00689474871
1556231,Vente,75000.0,BD,6620.0,GREOLIERES,6,70,1,2.0,Appartement,45.0,2.0,0,0.0,11,2021,4117.193508617311,1945.2684743509503,43.8070006506,6.93196496167
69343,Vente,268000.0,IMP,17320.0,MARENNES,17,219,0,1.0,Maison,132.0,4.0,1,530.0,2,2018,2297.994837711253,1979.8894512742047,45.8221269588,-1.10929995315
234421,Vente,75000.0,RUE,50470.0,CHERBOURG-EN-COTENTIN,50,129,0,1.0,Maison,77.0,4.0,1,294.0,5,2018,1590.973701446171,1661.0710374357109,49.633412156,-1.63390160204
1051612,Vente,85000.0,RUE,5250.0,LE DEVOLUY,5,139,1,2.0,Appartement,35.0,3.0,0,0.0,1,2020,2235.11791083217,2141.3975630954224,44.6775419763,5.94047368781
943827,Vente,369000.0,RUE,83260.0,LA CRAU,83,47,0,1.0,Maison,83.0,3.0,1,233.0,11,2019,3028.019050128541,3473.8691692945245,43.1635207421,6.09268351583
1741361,Vente,123000.0,PAS,50100.0,CHERBOURG-EN-COTENTIN,50,129,0,1.0,Maison,54.0,3.0,1,63.0,7,2021,1886.427035553776,2127.6102923148537,49.633412156,-1.63390160204
1201506,Vente,245000.0,RUE,35230.0,BOURGBARRE,35,32,0,1.0,Maison,112.0,6.0,1,475.0,5,2020,2386.624782243987,2221.032627941,47.988587599,-1.62222742311
962406,Vente,153000.0,RUE,86500.0,MONTMORILLON,86,165,0,1.0,Maison,100.0,4.0,1,937.0,10,2019,1366.1026561844676,923.8071087736888,46.4263978846,0.895458347632
1020261,Vente,110000.0,RUE,97419.0,LA POSSESSION,974,8,0,1.0,Maison,79.0,4.0,1,320.0,8,2019,2367.062912178338,2816.9996793144232,-20.9940292693,55.3975084985
1375861,Vente,90000.0,RUE,69100.0,VILLEURBANNE,69,266,2,2.0,Appartement,41.0,1.0,0,0.0,6,2020,3512.798515134791,3755.497285052944,45.7707704179,4.88845817426
1810263,Vente,56000.0,RUE,63570.0,SAINT-JEAN-SAINT-GERVAIS,63,367,0,1.0,Maison,65.0,5.0,1,525.0,12,2021,1744.0946925601722,529.1063186813187,45.4215952823,3.38756418048
167582,Vente,184500.0,RUE,35580.0,GUICHEN,35,126,0,1.0,Maison,97.0,5.0,1,217.0,3,2018,2200.0660652675783,1980.1990615961383,47.9653877316,-1.79026270939
805962,Vente,147000.0,CHE,59330.0,BEAUFORT,59,58,0,1.0,Maison,119.0,5.0,1,509.0,12,2019,1878.2179066985084,1165.4154103433816,50.2183201415,3.96567972154
1608555,Vente,70900.0,RUE,22000.0,SAINT-BRIEUC,22,278,0,1.0,Maison,57.0,3.0,1,59.0,1,2021,1791.6960745534402,1675.4149121346868,48.5149806053,-2.76154552773
44547,Vente,355000.0,CHE,13010.0,MARSEILLE 10EME,13,210,1,2.0,Appartement,88.0,4.0,0,0.0,11,2018,2839.6070661285644,2201.4117332820274,43.2755155435,5.42681101081
806988,Vente,90000.0,ALL,59400.0,CAMBRAI,59,122,0,1.0,Maison,82.0,3.0,1,235.0,8,2019,1878.2179066985084,1276.3137899288006,50.1702775977,3.24221021072
149029,Vente,95000.0,CITE,33820.0,ETAULIERS,33,159,0,1.0,Maison,88.0,4.0,1,716.0,9,2018,2977.687078641681,1074.1074857689125,45.2209962068,-0.581677744347
523060,Vente,98000.0,RUE,7460.0,SAINT-ANDRE-DE-CRUZIERES,7,211,0,1.0,Maison,72.0,3.0,1,100.0,12,2019,1755.0404202766033,2348.258184994428,44.315163637,4.21241172389
